amount_delta,amount_ratio,date_delta_days,merchant_match,currency_match,reference_similarity,candidate_count,payment_id,settlement_id,label
0.0,1.0,2.0,1,1,1.0,4,PAY_4B4B1C94,SET_AA2096AF,1
148000.0,1.1237044466733535,4.488483796296296,1,1,0.625,4,PAY_4B4B1C94,SET_C79EFBAD,0
245900.0,1.205533266466065,5.716990740740741,1,1,0.5625,4,PAY_4B4B1C94,SET_9FA5650D,0
965600.0,0.19291206954195922,3.9357407407407408,1,1,0.5405405405405406,4,PAY_4B4B1C94,SET_8B009A01,0
0.0,1.0,2.0,1,1,1.0,4,PAY_A6F81C15,SET_74EF08C0,1
527800.0,0.702530575438201,5.390243055555556,1,1,0.5625,4,PAY_A6F81C15,SET_CBF400AA,0
664200.0,0.6256551879614496,0.43927083333333333,1,1,0.5625,4,PAY_A6F81C15,SET_D9D937F0,0
1666200.0,0.06092543538296793,4.207349537037037,1,1,0.625,4,PAY_A6F81C15,SET_77DD0437,0
0.0,1.0,2.0,1,1,1.0,4,PAY_08E281AD,SET_EB77BEB0,1
263100.0,0.821820398212109,5.481886574074074,1,1,0.6486486486486487,4,PAY_08E281AD,SET_01FD579E,0
1338500.0,0.09352566707300555,0.5096180555555555,1,1,0.5625,4,PAY_08E281AD,SET_A197ABFC,0
774800.0,0.4752810510632534,3.223888888888889,1,1,0.5625,4,PAY_08E281AD,SET_95E641A4,0
0.0,1.0,7.0,1,1,1.0,4,PAY_CECEDC82,SET_A48AD133,1
101300.0,0.9324080870087409,2.353912037037037,1,1,0.625,4,PAY_CECEDC82,SET_B9C412E4,0
308100.0,1.2055781677453794,5.1106597222222225,1,1,0.6875,4,PAY_CECEDC82,SET_A0847151,0
605500.0,0.5959831854273704,6.797962962962963,1,1,0.625,4,PAY_CECEDC82,SET_4366B42D,0
0.0,1.0,2.0,1,1,1.0,4,PAY_43B78AAE,SET_C8EE2598,1
1664900.0,0.12996446488294314,2.8360300925925928,1,1,0.5625,4,PAY_43B78AAE,SET_CF878B2C,0
1055100.0,0.44863085284280935,2.272951388888889,1,1,0.6875,4,PAY_43B78AAE,SET_55FDEC78,0
230100.0,0.8797554347826086,2.330347222222222,1,1,0.6875,4,PAY_43B78AAE,SET_4AF73229,0
0.0,1.0,2.0,1,1,1.0,4,PAY_3043002D,SET_1A1C479D,1
817600.0,4.674606741573034,1.1458796296296296,1,1,0.5625,4,PAY_3043002D,SET_D5C693C4,0
722200.0,4.2458426966292135,2.410034722222222,1,1,0.5625,4,PAY_3043002D,SET_CC52123D,0
853200.0,4.834606741573034,2.1889351851851853,1,1,0.5625,4,PAY_3043002D,SET_BDE88748,0
0.0,1.0,2.0,1,1,1.0,4,PAY_5EACECEC,SET_E86AFA12,1
117800.0,0.8961474036850922,0.31405092592592593,1,1,0.5625,4,PAY_5EACECEC,SET_FE28FAA0,0
145100.0,1.1279203032707397,1.607199074074074,1,1,0.5,4,PAY_5EACECEC,SET_67CD76C0,0
730800.0,0.35572599841311825,3.428726851851852,1,1,0.625,4,PAY_5EACECEC,SET_F50B25E9,0
0.0,1.0,7.0,1,1,1.0,4,PAY_C5783656,SET_BB9F86B2,1
60500.0,0.9691798267957208,6.130462962962963,1,1,0.6875,4,PAY_C5783656,SET_B3EEE40F,0
1725100.0,0.12119205298013246,4.244490740740741,1,1,0.5625,4,PAY_C5783656,SET_D18D37D5,0
1927200.0,0.018237391747325523,5.913287037037037,1,1,0.5625,4,PAY_C5783656,SET_748707CA,0
0.0,1.0,2.0,1,1,1.0,4,PAY_B811E249,SET_FB5F66B6,1
300300.0,0.7085880640465794,1.8940162037037036,1,1,0.625,4,PAY_B811E249,SET_F8484796,0
207100.0,0.7990295972828724,2.589710648148148,1,1,0.625,4,PAY_B811E249,SET_DBC69EC2,0
621500.0,1.6031052886948083,5.238773148148148,1,1,0.625,4,PAY_B811E249,SET_66DA1BD8,0
0.0,1.0,2.0,1,1,1.0,4,PAY_EEB705AB,SET_F631C369,1
1327000.0,4.8983548766157465,3.1776388888888887,1,1,0.625,4,PAY_EEB705AB,SET_8113E0A2,0
69900.0,1.2053466509988249,0.9775115740740741,1,1,0.5625,4,PAY_EEB705AB,SET_8E1B1713,0
418600.0,2.22972972972973,3.295127314814815,1,1,0.625,4,PAY_EEB705AB,SET_F1AC0C81,0
0.0,1.0,2.0,1,1,1.0,4,PAY_2C94C4A4,SET_F327F171,1
1041900.0,2.777682989250981,5.959548611111111,1,1,0.5625,4,PAY_2C94C4A4,SET_E51DFC7B,0
