amount_delta,amount_ratio,amount_exact_match,date_delta_days,date_within_window,merchant_match,currency_match,reference_similarity,reference_exact_match,candidate_count,payment_id,settlement_id,scenario,label
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,PAY_24CCC0E3,SET_4D6DC9FA,ONE_TO_MANY,1
300.0,0.9997493106041614,0.0,33.52122685185185,0.0,0.0,1.0,0.625,0.0,4.0,PAY_24CCC0E3,SET_8ED1AA57,ONE_TO_MANY,0
1003300.0,0.16140086927449013,0.0,7.853993055555556,0.0,0.0,1.0,0.6875,0.0,4.0,PAY_24CCC0E3,SET_8EF1C673,ONE_TO_MANY,0
561200.0,0.5309261116683384,0.0,45.66449074074074,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_24CCC0E3,SET_E5F17B77,ONE_TO_MANY,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,PAY_11467870,SET_3E3533B8,CLEAN,1
0.0,1.0,1.0,24.625497685185184,0.0,0.0,1.0,0.0,0.0,5.0,PAY_11467870,SET_75D02D44,CLEAN,0
1900.0,0.9989303006418196,0.0,27.916828703703704,0.0,0.0,1.0,0.0,0.0,5.0,PAY_11467870,SET_16C6854A,CLEAN,0
0.0,1.0,1.0,24.625497685185184,0.0,0.0,1.0,0.0,0.0,5.0,PAY_11467870,SET_75D02D44,CLEAN,0
840600.0,0.5262356985853576,0.0,23.184085648148148,0.0,0.0,1.0,0.0,0.0,5.0,PAY_11467870,SET_AFECB234,CLEAN,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,PAY_38BA4E41,SET_FA92DB01,FEE_VARIANCE,1
3300.0,0.9977701196026758,0.0,4.911412037037037,0.0,0.0,1.0,0.625,0.0,4.0,PAY_38BA4E41,SET_1050ADAD,FEE_VARIANCE,0
1133200.0,0.23256128944873358,0.0,8.430706018518519,0.0,0.0,1.0,0.5405405405405406,0.0,4.0,PAY_38BA4E41,SET_98F3D63B,FEE_VARIANCE,0
1165000.0,0.21102532845726668,0.0,38.43597222222222,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_38BA4E41,SET_634BCDFB,FEE_VARIANCE,0
0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,4.0,PAY_B3FADDEB,SET_F8F692AA,TIMING_DIFFERENCE,1
4500.0,0.9970063863757318,0.0,6.601493055555555,0.0,0.0,1.0,0.625,0.0,4.0,PAY_B3FADDEB,SET_DB135718,TIMING_DIFFERENCE,0
40000.0,0.9740040293754468,0.0,30.397141203703704,0.0,0.0,1.0,0.6875,0.0,4.0,PAY_B3FADDEB,SET_0013DB5A,TIMING_DIFFERENCE,0
1031400.0,0.3118035630880096,0.0,14.38582175925926,0.0,0.0,1.0,0.625,0.0,4.0,PAY_B3FADDEB,SET_B0537B1D,TIMING_DIFFERENCE,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,PAY_5BDDE017,SET_8F63F650,CLEAN,1
0.0,1.0,1.0,44.348900462962966,0.0,0.0,1.0,0.0,0.0,5.0,PAY_5BDDE017,SET_695F9F59,CLEAN,0
2800.0,0.9985389271550824,0.0,1.339212962962963,1.0,0.0,1.0,0.0,0.0,5.0,PAY_5BDDE017,SET_B989541A,CLEAN,0
0.0,1.0,1.0,44.348900462962966,0.0,0.0,1.0,0.0,0.0,5.0,PAY_5BDDE017,SET_695F9F59,CLEAN,0
432900.0,0.7737771739130435,0.0,0.050694444444444445,1.0,0.0,1.0,0.0,0.0,5.0,PAY_5BDDE017,SET_5084F2E3,CLEAN,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,PAY_B8BA4327,SET_A45F28E9,OTHER,1
5000.0,0.9775280898876404,0.0,2.5027662037037035,1.0,0.0,1.0,0.0,0.0,4.0,PAY_B8BA4327,SET_203192FA,OTHER,0
1507800.0,0.1285904178466162,0.0,34.326828703703704,0.0,0.0,1.0,0.0,0.0,4.0,PAY_B8BA4327,SET_8E55D22D,OTHER,0
1511800.0,0.12829383612985065,0.0,39.00516203703704,0.0,0.0,1.0,0.0,0.0,4.0,PAY_B8BA4327,SET_F7C55FA0,OTHER,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,PAY_21CE3CD9,SET_BB078A63,UNEXPLAINED_DELTA,1
1000.0,0.9991183990126069,0.0,24.259016203703705,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_21CE3CD9,SET_E957000B,UNEXPLAINED_DELTA,0
139400.0,0.8771048223574011,0.0,9.582118055555556,0.0,0.0,1.0,0.6875,0.0,4.0,PAY_21CE3CD9,SET_B9E297E2,UNEXPLAINED_DELTA,0
542800.0,0.676346073579393,0.0,14.507974537037038,0.0,0.0,1.0,0.10810810810810811,0.0,4.0,PAY_21CE3CD9,SET_C0B9A0F6,UNEXPLAINED_DELTA,0
0.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,4.0,PAY_F98AE059,SET_3642DAB5,TIMING_DIFFERENCE,1
4600.0,0.9976621264484651,0.0,38.054907407407406,0.0,0.0,1.0,0.0,0.0,4.0,PAY_F98AE059,SET_73766E42,TIMING_DIFFERENCE,0
631000.0,0.6785532348446256,0.0,20.173912037037038,0.0,0.0,1.0,0.0,0.0,4.0,PAY_F98AE059,SET_F3FD6A42,TIMING_DIFFERENCE,0
1138700.0,0.41991849210392257,0.0,4.281736111111111,0.0,1.0,1.0,0.0,0.0,4.0,PAY_F98AE059,SET_6A490B35,TIMING_DIFFERENCE,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,PAY_39410B05,SET_01E88E25,CLEAN,1
0.0,1.0,1.0,11.753657407407408,0.0,0.0,1.0,0.5625,0.0,5.0,PAY_39410B05,SET_54BED866,CLEAN,0
2600.0,0.9974769529354682,0.0,16.890752314814815,0.0,0.0,1.0,0.625,0.0,5.0,PAY_39410B05,SET_17A04467,CLEAN,0
0.0,1.0,1.0,11.753657407407408,0.0,0.0,1.0,0.9375,0.0,5.0,PAY_39410B05,SET_54BED866,CLEAN,0
854600.0,0.5466553498488144,0.0,26.54283564814815,0.0,0.0,1.0,0.6875,0.0,5.0,PAY_39410B05,SET_0341513F,CLEAN,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16216216216216217,0.0,4.0,PAY_B89905F6,SET_A366B385,AMBIGUOUS,1
3000.0,0.9911868390129259,0.0,44.14211805555556,0.0,1.0,1.0,0.625,0.0,4.0,PAY_B89905F6,SET_183C037F,AMBIGUOUS,0
225100.0,0.3387191539365452,0.0,50.172291666666666,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_B89905F6,SET_509AE44B,AMBIGUOUS,0
1519400.0,0.18303043337993333,0.0,5.643206018518518,0.0,0.0,1.0,0.625,0.0,4.0,PAY_B89905F6,SET_10DFE23B,AMBIGUOUS,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,PAY_660B2ADC,SET_A6F990D2,CLEAN,1
2400.0,0.9959218351741717,0.0,1.8487152777777778,1.0,0.0,1.0,0.0,0.0,4.0,PAY_660B2ADC,SET_60117C56,CLEAN,0
714200.0,0.4507421364300546,0.0,7.307152777777778,0.0,0.0,1.0,0.0,0.0,4.0,PAY_660B2ADC,SET_24882CD7,CLEAN,0
564800.0,0.5092536275957946,0.0,17.788136574074073,0.0,0.0,1.0,0.0,0.0,4.0,PAY_660B2ADC,SET_4608F833,CLEAN,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,PAY_C298CC8E,SET_A9929498,CLEAN,1
0.0,1.0,1.0,24.405474537037037,0.0,0.0,1.0,0.625,0.0,5.0,PAY_C298CC8E,SET_8640D250,CLEAN,0
1900.0,0.9972307243842006,0.0,12.63375,0.0,0.0,1.0,0.625,0.0,5.0,PAY_C298CC8E,SET_EB8C4863,CLEAN,0
0.0,1.0,1.0,24.405474537037037,0.0,0.0,1.0,0.875,0.0,5.0,PAY_C298CC8E,SET_8640D250,CLEAN,0
133600.0,0.8047354574685764,0.0,7.563356481481481,0.0,0.0,1.0,0.6875,0.0,5.0,PAY_C298CC8E,SET_A18F9B2E,CLEAN,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,PAY_DD66E4E5,SET_AFB6414C,TAX_VARIANCE,1
4600.0,0.9934927146696846,0.0,19.88542824074074,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_DD66E4E5,SET_5F33AE79,TAX_VARIANCE,0
126700.0,0.8471652593486128,0.0,39.780393518518515,0.0,0.0,1.0,0.625,0.0,4.0,PAY_DD66E4E5,SET_78936746,TAX_VARIANCE,0
115900.0,0.8583475922757272,0.0,21.291458333333335,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_DD66E4E5,SET_564FBE32,TAX_VARIANCE,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8648648648648649,0.0,4.0,PAY_635DB00E,SET_BF3D310B,REFERENCE_TYPO,1
1000.0,0.9947451392538098,0.0,9.36488425925926,0.0,0.0,1.0,0.625,0.0,4.0,PAY_635DB00E,SET_8D55BCCB,REFERENCE_TYPO,0
840200.0,0.1846676370693838,0.0,16.734293981481482,0.0,1.0,1.0,0.5625,0.0,4.0,PAY_635DB00E,SET_54BED866,REFERENCE_TYPO,0
307600.0,0.38220526210082345,0.0,23.65074074074074,0.0,1.0,1.0,0.5625,0.0,4.0,PAY_635DB00E,SET_002D9693,REFERENCE_TYPO,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,PAY_C53A2F94,SET_0341513F,CLEAN,1
2600.0,0.9986226624993378,0.0,25.694837962962964,0.0,0.0,1.0,0.6875,0.0,4.0,PAY_C53A2F94,SET_FE5237C4,CLEAN,0
197700.0,0.8951249270595725,0.0,13.143587962962963,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_C53A2F94,SET_A86EDD34,CLEAN,0
364300.0,0.806747652644422,0.0,36.23575231481482,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_C53A2F94,SET_F0587FE1,CLEAN,0
0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,4.0,PAY_7A89E6A6,SET_1AC7E497,TIMING_DIFFERENCE,1
4700.0,0.9975225343946023,0.0,46.05795138888889,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_7A89E6A6,SET_94BBAAB2,TIMING_DIFFERENCE,0
445100.0,0.7647960262101036,0.0,28.388113425925926,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_7A89E6A6,SET_68836D82,TIMING_DIFFERENCE,0
1540000.0,0.18621855844430352,0.0,35.13754629629629,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_7A89E6A6,SET_9AFF4BDB,TIMING_DIFFERENCE,0
0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,4.0,PAY_3F2DCD96,SET_2C210777,TIMING_DIFFERENCE,1
2900.0,0.9978660779985283,0.0,7.4311342592592595,0.0,0.0,1.0,0.10810810810810811,0.0,4.0,PAY_3F2DCD96,SET_C26CA3A9,TIMING_DIFFERENCE,0
641500.0,0.6788646375650781,0.0,11.821180555555555,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_3F2DCD96,SET_AA3451FF,TIMING_DIFFERENCE,0
380000.0,0.7811185991590346,0.0,29.52451388888889,0.0,0.0,1.0,0.5625,0.0,4.0,PAY_3F2DCD96,SET_BA6B92BD,TIMING_DIFFERENCE,0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,PAY_6C0F8C45,SET_16DAFD49,CLEAN,1
